filename,width,height,class,xmin,ymin,xmax,ymax
image2000_168_jpg.rf.0014b69e1e68a718f63ffef7a19e6e4c.jpg,500,500,speaking,0,0,500,500
0P1-87-_jpg.rf.002a6949f51c3294601474b4a3a28c4b.jpg,500,500,phone-holding,323,83,417,153
20230602_192359_mp4-25_jpg.rf.000fde687c9547f514819b9e0cbdb140.jpg,500,500,head-turn,238,124,324,282
VID20230603083955_mp4-43_jpg.rf.006a17f98a83f51bf363222684f877c6.jpg,500,500,head-turn,21,156,88,244
house9_jpeg_jpg.rf.005b8f1f1ba32a8d086c307eb3838725.jpg,500,500,hand-gestures,132,152,194,240
house9_jpeg_jpg.rf.005b8f1f1ba32a8d086c307eb3838725.jpg,500,500,hand-gestures,169,160,263,254
VID20230603083955_mp4-78_jpg.rf.0019345090710cd3c573c5a16b74c884.jpg,500,500,head-turn,0,119,8,194
VID20230603083955_mp4-78_jpg.rf.0019345090710cd3c573c5a16b74c884.jpg,500,500,head-turn,9,185,71,270
VID20230603083955_mp4-78_jpg.rf.0019345090710cd3c573c5a16b74c884.jpg,500,500,phone-holding,1,189,8,228
VID20230603083955_mp4-78_jpg.rf.0019345090710cd3c573c5a16b74c884.jpg,500,500,phone-holding,112,267,137,316
VID20230603083955_mp4-78_jpg.rf.0019345090710cd3c573c5a16b74c884.jpg,500,500,head-turn,246,252,274,310
20230602_192714_mp4-7_jpg.rf.00025759b5c43be73b56bfb5938f39ea.jpg,500,500,hand-gestures,314,214,396,360
20230602_193024_mp4-15_jpg.rf.0074f7096cbd72bb98b6fbf7bb90615f.jpg,500,500,showing-paper,21,192,432,350
Arguing_027_mp4-5_jpg.rf.007d255365fb513c25968c4657777ccd.jpg,500,500,speaking,186,114,289,340
Arguing_027_mp4-5_jpg.rf.007d255365fb513c25968c4657777ccd.jpg,500,500,speaking,0,106,119,500
Arguing_027_mp4-5_jpg.rf.007d255365fb513c25968c4657777ccd.jpg,500,500,speaking,378,205,456,410
20230602_192714_mp4-5_jpg.rf.008aa176e8c55ad4a6fd540f0b73f619.jpg,500,500,hand-gestures,273,232,345,366
0P1-145-_jpg.rf.003835ff2d78e6ee02d176ffaee8270d.jpg,500,500,phone-holding,295,108,359,337
ily8_jpeg_jpg.rf.ff3b8e1939345ca9b4e0677d2337af6c.jpg,500,500,hand-gestures,190,44,382,330
0P1-123-_jpg.rf.ff3e746686355369748cb5cc1c4f67ad.jpg,500,500,phone-holding,109,1,355,458
20230602_192359_mp4-1_jpg.rf.ff74002cd7bd7be801f47107839cb4da.jpg,500,500,eyes-away,241,198,273,216
20230602_192359_mp4-38_jpg.rf.ff8d0ff955bfda72894e49a497bcf04c.jpg,500,500,head-turn,198,131,320,253
20230602_192728_mp4-46_jpg.rf.ffb2ff5ac443fa9de4c16cc1dd4a20a8.jpg,500,500,hand-gestures,291,85,389,281
VID20230603083955_mp4-42_jpg.rf.fff0ddb7718fc8774d9cf1cd3e110c82.jpg,500,500,head-turn,54,152,120,264
20230602_192854_mp4-7_jpg.rf.ffc9171e2a56cda27e227464b02457b3.jpg,500,500,eyes-away,153,167,318,265
VID20230603083955_mp4-60_jpg.rf.fff0ffd867a996ce2005b3c4f1d79133.jpg,500,500,speaking,258,238,268,254
VID20230603083955_mp4-60_jpg.rf.fff0ffd867a996ce2005b3c4f1d79133.jpg,500,500,phone-holding,123,237,147,279
VID20230603083955_mp4-60_jpg.rf.fff0ffd867a996ce2005b3c4f1d79133.jpg,500,500,head-turn,22,156,116,248
VID20230603083955_mp4-60_jpg.rf.fff0ffd867a996ce2005b3c4f1d79133.jpg,500,500,head-turn,418,92,454,152
20230602_192359_mp4-53_jpg.rf.ffbd0c5d4bed305d57bade1e08e1b644.jpg,500,500,head-turn,183,80,263,288
house9_jpeg_jpg.rf.ffe37f6110088ef36fecfc715d9fe7d3.jpg,500,500,hand-gestures,132,152,195,240
house9_jpeg_jpg.rf.ffe37f6110088ef36fecfc715d9fe7d3.jpg,500,500,hand-gestures,189,141,244,273
VID20230603083955_mp4-44_jpg.rf.fffb69315f13e253f72605016e40c88f.jpg,500,500,head-turn,62,170,124,254
VID20230603083955_mp4-44_jpg.rf.fffb69315f13e253f72605016e40c88f.jpg,500,500,head-turn,272,242,294,284
VID20230603083955_mp4-30_jpg.rf.fffba90f03b243a959f22267f0695386.jpg,500,500,head-turn,362,204,392,238
20230517_173712_mp4-18_jpg.rf.ff90ba745f9f45aa05cd4d2c366672c6.jpg,500,500,head-turn,314,55,408,249
20230517_173712_mp4-18_jpg.rf.ff90ba745f9f45aa05cd4d2c366672c6.jpg,500,500,head-turn,210,102,306,272
